,timestamp,symbol,price,quantity,buyer,seller,currency
301,87400,SQUID_INK,1808,1,,,SEASHELLS
302,87800,RAINFOREST_RESIN,9998,1,,,SEASHELLS
303,88200,SQUID_INK,1808,1,,,SEASHELLS
304,88500,KELP,2037,1,InferredBot,SUBMISSION,SEASHELLS
305,88600,KELP,2035,4,SUBMISSION,ExplicitBook,SEASHELLS
306,89100,KELP,2035,1,,,SEASHELLS
307,89600,KELP,2035,10,SUBMISSION,InferredBot,SEASHELLS
308,89600,SQUID_INK,1805,10,,,SEASHELLS
309,89800,KELP,2037,1,ExplicitBook,SUBMISSION,SEASHELLS
310,89900,KELP,2037,1,InferredBot,SUBMISSION,SEASHELLS
311,89900,KELP,2038,1,,,SEASHELLS
312,90200,SQUID_INK,1805,1,,,SEASHELLS
313,90300,KELP,2037,2,InferredBot,SUBMISSION,SEASHELLS
314,90400,KELP,2035,8,SUBMISSION,InferredBot,SEASHELLS
315,90700,KELP,2037,1,InferredBot,SUBMISSION,SEASHELLS
316,90700,SQUID_INK,1809,1,,,SEASHELLS
317,91000,RAINFOREST_RESIN,10002,1,,,SEASHELLS
318,91600,KELP,2036,3,ExplicitBook,SUBMISSION,SEASHELLS
319,91900,KELP,2036,2,,,SEASHELLS
320,92300,KELP,2036,1,InferredBot,SUBMISSION,SEASHELLS
321,92400,KELP,2036,2,InferredBot,SUBMISSION,SEASHELLS
322,92400,SQUID_INK,1811,2,,,SEASHELLS
323,92600,KELP,2034,1,,,SEASHELLS
324,93600,KELP,2037,1,InferredBot,SUBMISSION,SEASHELLS
325,93600,SQUID_INK,1818,1,,,SEASHELLS
326,94500,KELP,2037,15,InferredBot,SUBMISSION,SEASHELLS
327,94800,KELP,2035,2,SUBMISSION,InferredBot,SEASHELLS
328,94800,SQUID_INK,1815,2,,,SEASHELLS
329,95100,KELP,2036,1,ExplicitBook,SUBMISSION,SEASHELLS
330,95100,KELP,2036,1,,,SEASHELLS
331,95300,KELP,2036,1,,,SEASHELLS
332,95700,RAINFOREST_RESIN,10002,7,,,SEASHELLS
333,95900,KELP,2036,1,ExplicitBook,SUBMISSION,SEASHELLS
334,96000,KELP,2036,1,ExplicitBook,SUBMISSION,SEASHELLS
335,96000,KELP,2036,1,,,SEASHELLS
336,96100,RAINFOREST_RESIN,10002,2,,,SEASHELLS
337,96400,KELP,2034,7,,,SEASHELLS
338,96400,SQUID_INK,1816,0,,,SEASHELLS
339,96600,KELP,2034,1,,,SEASHELLS
340,97200,KELP,2035,5,SUBMISSION,ExplicitBook,SEASHELLS
341,97200,SQUID_INK,1813,5,,,SEASHELLS
342,97300,KELP,2037,1,ExplicitBook,SUBMISSION,SEASHELLS
343,97400,KELP,2037,1,ExplicitBook,SUBMISSION,SEASHELLS
344,98100,SQUID_INK,1814,1,,,SEASHELLS
345,98200,KELP,2035,6,SUBMISSION,InferredBot,SEASHELLS
346,98300,KELP,2035,3,SUBMISSION,ExplicitBook,SEASHELLS
347,99200,KELP,2035,2,SUBMISSION,InferredBot,SEASHELLS
348,99200,SQUID_INK,1811,2,,,SEASHELLS
349,99300,KELP,2037,1,ExplicitBook,SUBMISSION,SEASHELLS
350,99600,KELP,2037,12,InferredBot,SUBMISSION,SEASHELLS
351,99700,KELP,2035,2,SUBMISSION,InferredBot,SEASHELLS
